Simulation,InsideCount
0,40
1,36
2,33
3,37
4,35
5,31
6,47
7,36
8,37
9,45
10,52
11,37
12,39
13,43
14,41
15,35
16,48
17,39
18,33
19,35
20,31
21,45
22,47
23,35
24,53
25,44
26,39
27,42
28,44
29,49
30,43
31,42
32,47
33,35
34,43
35,31
36,40
37,45
38,50
39,32
40,39
41,34
42,39
43,40
44,40
45,44
46,31
47,42
48,38
49,38
50,50
51,38
52,44
53,39
54,36
55,32
56,34
57,41
58,34
59,45
60,35
61,43
62,38
63,38
64,40
65,33
66,44
67,42
68,45
69,44
70,43
71,36
72,46
73,49
74,33
75,41
76,46
77,39
78,43
79,47
80,41
81,36
82,40
83,42
84,35
85,38
86,35
87,35
88,44
89,47
90,34
91,33
92,43
93,33
94,40
95,40
96,42
97,34
98,35
99,43
100,36
101,36
102,40
103,43
104,34
105,35
106,47
107,39
108,44
109,41
110,40
111,36
112,42
113,35
114,37
115,42
116,45
117,36
118,39
119,39
120,40
121,41
122,29
123,43
124,39
125,39
126,36
127,35
128,35
129,49
130,28
131,34
132,38
133,36
134,52
135,42
136,43
137,38
138,39
139,41
140,47
141,31
142,37
143,38
144,40
145,43
146,41
147,42
148,47
149,35
150,37
151,47
152,43
153,44
154,33
155,37
156,37
157,44
158,35
159,45
160,37
161,38
162,41
163,40
164,38
165,48
166,39
167,40
168,35
169,30
170,44
171,44
172,41
173,40
174,45
175,29
176,45
177,34
178,45
179,36
180,41
181,44
182,34
183,41
184,39
185,41
186,44
187,46
188,42
189,37
190,43
191,46
192,32
193,36
194,38
195,40
196,50
197,47
198,39
199,40
200,39
201,36
202,40
203,39
204,27
205,38
206,41
207,32
208,38
209,43
210,41
211,37
212,39
213,40
214,33
215,37
216,38
217,42
218,35
219,41
220,45
221,35
222,43
223,32
224,40
225,41
226,45
227,38
228,44
229,38
230,35
231,52
232,46
233,39
234,43
235,26
236,37
237,46
238,45
239,38
240,43
241,40
242,32
243,39
244,41
245,46
246,35
247,32
248,37
249,48
250,37
251,41
252,34
253,36
254,43
255,37
256,42
257,44
258,39
259,40
260,36
261,34
262,46
263,39
264,40
265,33
266,41
267,36
268,45
269,37
270,37
271,35
272,33
273,39
274,39
275,39
276,55
277,40
278,33
279,40
280,43
281,37
282,43
283,37
284,31
285,37
286,42
287,42
288,43
289,39
290,40
291,41
292,35
293,35
294,36
295,45
296,34
297,46
298,37
299,40
300,46
301,33
302,41
303,37
304,41
305,40
306,40
307,35
308,32
309,42
310,41
311,40
312,42
313,29
314,33
315,39
316,40
317,31
318,34
319,41
320,47
321,36
322,41
323,47
324,40
325,33
326,43
327,42
328,34
329,40
330,45
331,34
332,39
333,46
334,37
335,38
336,38
337,31
338,40
339,30
340,32
341,37
342,34
343,38
344,42
345,38
346,37
347,40
348,39
349,44
350,37
351,34
352,38
353,44
354,37
355,40
356,37
357,43
358,44
359,33
360,40
361,39
362,37
363,35
364,45
365,36
366,40
367,39
368,32
369,34
370,39
371,40
372,36
373,36
374,45
375,37
376,41
377,37
378,33
379,31
380,27
381,33
382,46
383,34
384,36
385,41
386,45
387,40
388,40
389,39
390,31
391,30
392,44
393,39
394,36
395,34
396,35
397,40
398,35
399,41
400,32
401,41
402,31
403,42
404,44
405,40
406,48
407,44
408,43
409,40
410,40
411,28
412,39
413,45
414,33
415,37
416,37
417,46
418,37
419,33
420,43
421,35
422,39
423,32
424,40
425,37
426,43
427,46
428,30
429,40
430,37
431,40
432,41
433,36
434,40
435,54
436,39
437,31
438,46
439,34
440,24
441,42
442,37
443,38
444,35
445,43
446,44
447,46
448,50
449,45
450,36
451,44
452,42
453,28
454,41
455,33
456,31
457,48
458,36
459,44
460,43
461,43
462,49
463,28
464,50
465,43
466,41
467,37
468,47
469,38
470,40
471,44
472,36
473,30
474,44
475,42
476,36
477,41
478,35
479,41
480,41
481,37
482,31
483,26
484,34
485,51
486,34
487,42
488,37
489,32
490,39
491,48
492,43
493,46
494,32
495,35
496,53
497,43
498,42
499,41
500,29
501,43
502,36
503,41
504,39
505,36
506,43
507,31
508,43
509,47
510,42
511,45
512,32
513,47
514,41
515,36
516,35
517,45
518,36
519,37
520,33
521,36
522,37
523,34
524,48
525,32
526,43
527,39
528,43
529,31
530,34
531,41
532,39
533,38
534,38
535,30
536,36
537,31
538,37
539,43
540,36
541,33
542,36
543,41
544,42
545,44
546,38
547,46
548,31
549,43
550,36
551,40
552,37
553,34
554,46
555,39
556,42
557,49
558,35
559,40
560,43
561,35
562,36
563,40
564,45
565,46
566,37
567,38
568,42
569,36
570,29
571,48
572,35
573,36
574,34
575,33
576,33
577,47
578,44
579,37
580,30
581,42
582,37
583,39
584,34
585,40
586,44
587,40
588,43
589,32
590,44
591,37
592,39
593,42
594,49
595,39
596,41
597,30
598,38
599,40
600,44
601,31
602,35
603,38
604,38
605,33
606,45
607,33
608,43
609,47
610,32
611,40
612,36
613,36
614,37
615,52
616,35
617,37
618,46
619,34
620,43
621,38
622,40
623,47
624,47
625,43
626,35
627,39
628,38
629,45
630,43
631,35
632,46
633,42
634,39
635,38
636,35
637,46
638,40
639,37
640,27
641,48
642,36
643,35
644,39
645,40
646,43
647,33
648,28
649,40
650,43
651,42
652,47
653,36
654,45
655,44
656,38
657,40
658,46
659,37
660,43
661,36
662,41
663,37
664,45
665,35
666,37
667,47
668,37
669,38
670,37
671,50
672,37
673,25
674,30
675,45
676,38
677,37
678,48
679,46
680,44
681,52
682,35
683,44
