Baseline,Intervention,Gain
57.78,62.562,4.7819999999999965
57.7768,62.6696,4.892800000000001
57.5294,62.4686,4.9392
58.1312,63.2936,5.162399999999998
57.663,62.6098,4.946800000000003
57.85,62.7138,4.863799999999998
57.785,62.859,5.074000000000005
57.6366,62.194,4.557400000000001
57.2938,62.6662,5.372400000000006
57.9798,63.1198,5.140000000000001
57.4954,62.4384,4.943000000000005
57.857,62.8096,4.952600000000004
57.7506,62.8598,5.109200000000001
57.8228,62.6426,4.819800000000001
57.9836,63.3098,5.3262
57.341,62.5164,5.175399999999996
58.7942,63.3506,4.556400000000004
58.3548,63.3642,5.009399999999999
57.9482,62.9636,5.0154
57.9442,62.814,4.869799999999998
58.2176,63.4492,5.2316
57.827,62.6376,4.810600000000001
57.8962,62.887,4.9908
57.7834,62.819,5.035600000000002
57.751,62.4678,4.716799999999999
57.6612,62.7774,5.116199999999999
57.8948,62.6204,4.7256
57.7406,62.8392,5.098599999999998
57.9162,62.7778,4.861599999999996
57.78,62.6744,4.894399999999997
58.1008,62.9238,4.823
57.24,62.835,5.594999999999999
57.5356,62.5764,5.040799999999997
57.6506,62.7692,5.118600000000001
58.201,63.2702,5.069200000000002
56.9204,62.3742,5.453800000000001
57.9354,62.9198,4.984400000000001
57.539,63.039,5.5
57.7662,63.0212,5.255000000000003
57.7496,62.194,4.444400000000002
57.848,62.919,5.070999999999998
58.2338,62.9858,4.751999999999995
57.934,62.9266,4.992600000000003
57.9708,62.8388,4.868000000000002
57.993,63.1538,5.160799999999995
57.6136,62.6368,5.023200000000003
57.7532,62.7212,4.9680000000000035
58.2834,63.1768,4.8934
57.4538,62.5936,5.139800000000001
58.4254,63.3404,4.914999999999999
57.8186,62.606,4.787399999999998
57.49,62.3232,4.833199999999998
58.0958,63.325,5.229200000000006
58.0198,62.7548,4.7350000000000065
57.172,62.2196,5.047600000000003
57.6052,62.3682,4.762999999999998
57.6736,62.9584,5.284799999999997
57.3736,62.434,5.060399999999994
58.1384,63.1574,5.0190000000000055
57.644,62.7158,5.071800000000003
57.538,62.5172,4.979200000000006
58.32,63.1724,4.852400000000003
58.2294,63.3772,5.147800000000004
57.1484,61.8504,4.701999999999998
57.8196,62.5268,4.7072
58.0372,63.1018,5.064599999999999
57.5644,62.7,5.135600000000004
58.0918,62.8318,4.740000000000002
57.8514,62.9332,5.081800000000001
58.3708,63.3672,4.996399999999994
57.6222,63.0042,5.381999999999998
56.9628,62.0294,5.066600000000001
57.9788,62.9664,4.9876000000000005
57.9126,62.7066,4.794000000000004
57.7998,62.6612,4.861400000000003
58.1264,62.8338,4.7074
57.9736,62.7968,4.8232
58.2052,63.0594,4.854199999999999
57.7002,62.6828,4.982599999999998
57.8124,62.9208,5.108400000000003
57.1776,62.1276,4.950000000000003
57.6482,62.688,5.0398
57.3936,62.4176,5.024000000000001
57.4008,62.6376,5.236800000000002
58.3592,63.3202,4.9609999999999985
57.6766,62.9932,5.316600000000001
57.8356,62.6704,4.834800000000001
57.0236,62.1524,5.128799999999998
57.4542,62.4766,5.0223999999999975
57.4992,62.5168,5.017600000000002
57.9464,62.7738,4.827400000000004
58.1454,63.2048,5.059399999999997
57.7688,62.9962,5.227400000000003
58.0048,63.2628,5.257999999999996
57.3664,62.7308,5.364400000000003
57.6552,62.6446,4.989399999999996
57.8762,62.8964,5.020200000000003
58.2922,63.1196,4.827399999999997
57.8414,63.0466,5.205199999999998
57.422,61.9988,4.576800000000006
58.107,62.757,4.649999999999999
57.7604,62.7864,5.026000000000003
58.2442,63.2068,4.962600000000002
57.9176,62.6538,4.736199999999997
57.8926,63.0338,5.141199999999998
58.0464,63.0752,5.028800000000004
57.3068,62.3142,5.007399999999997
58.1954,62.997,4.8016000000000005
57.9846,63.018,5.0334
57.982,63.0294,5.047400000000003
57.6984,62.3346,4.636200000000002
58.0486,62.8966,4.847999999999999
57.6036,62.6246,5.021000000000001
58.435,63.2452,4.810199999999995
58.3512,63.4288,5.077600000000004
57.8516,62.8386,4.987000000000002
57.9724,62.9282,4.955799999999996
57.9348,62.9,4.965199999999996
57.634,62.6234,4.989399999999996
56.9864,61.927,4.940599999999996
57.7444,63.1272,5.382800000000003
58.0128,62.801,4.788200000000003
58.2664,63.2158,4.949400000000004
57.7122,62.6932,4.9809999999999945
57.8286,62.7318,4.903199999999998
57.42,62.4654,5.045400000000001
58.2974,62.8686,4.5711999999999975
58.2242,63.1138,4.889599999999994
58.4286,63.0258,4.597199999999994
58.2634,63.1486,4.885200000000005
57.43,62.6934,5.263399999999997
57.0984,62.3894,5.291000000000004
57.69,62.5414,4.851400000000005
57.3432,62.4762,5.132999999999996
58.0312,63.0532,5.0219999999999985
57.5164,62.3884,4.872
58.3138,63.4134,5.099600000000002
57.8664,62.701,4.834600000000002
57.7254,62.834,5.108600000000003
57.8666,62.9804,5.113800000000005
58.2324,62.9246,4.6922
58.5308,63.4594,4.928600000000003
57.7044,62.4698,4.7654
58.6656,64.054,5.388400000000004
57.7994,62.569,4.769600000000004
58.288,63.2446,4.956600000000002
57.1594,62.285,5.125599999999999
57.9698,62.8226,4.852800000000002
57.7388,62.5408,4.802
58.0126,62.6176,4.605000000000004
57.2806,62.8226,5.542000000000002
57.6634,62.6616,4.998199999999997
58.0796,62.9574,4.877800000000001
58.5808,63.099,4.518199999999993
57.9682,62.6978,4.729599999999998
57.8954,62.8634,4.967999999999996
58.3326,63.0744,4.741799999999998
57.9236,62.7314,4.8078
58.06,63.3234,5.263399999999997
57.6204,62.6394,5.0190000000000055
58.2806,62.9778,4.697200000000002
57.4148,62.5686,5.153800000000004
57.5914,62.7128,5.121400000000001
57.9314,62.952,5.020600000000002
58.4676,63.1222,4.654600000000002
57.8736,62.8152,4.941599999999994
58.0872,62.8024,4.715199999999996
