Age,Mortality Rate
0,0.005631996
1,0.000443941
2,0.000283911
3,0.000222024
4,0.000167698
5,0.000154683
6,0.000139359
7,0.00012755
8,0.000115909
9,0.000105314
10,0.000100929
11,0.00011152
12,0.000147218
13,0.000213429
14,0.000302329
15,0.000402148
16,0.000501487
17,0.000596421
18,0.000680622
19,0.000756313
20,0.00083245
21,0.000911838
22,0.00098977
23,0.001068025
24,0.001148804
25,0.001231294
26,0.001316876
27,0.001407342
28,0.001500367
29,0.001591977
30,0.001682968
31,0.001771047
32,0.001852638
33,0.001928676
34,0.002003771
35,0.002081902
36,0.00216666
37,0.002259788
38,0.002362012
39,0.002471954
40,0.00259607
41,0.002728528
42,0.002858228
43,0.002984094
44,0.003117793
45,0.003276444
46,0.003472245
47,0.003701495
48,0.00395775
49,0.004234663
50,0.004524976
51,0.004844797
52,0.005217388
53,0.00566321
54,0.00618122
55,0.006731513
56,0.007311968
57,0.007961942
58,0.008678772
59,0.009436533
60,0.010224775
61,0.011020691
62,0.011810591
63,0.012602683
64,0.01342987
65,0.01432008
66,0.015397244
67,0.016463867
68,0.017678778
69,0.019002999
70,0.020384587
71,0.021949454
72,0.023800556
73,0.025950186
74,0.028523146
75,0.030938065
76,0.034939081
77,0.03809198
78,0.042379074
79,0.046294392
80,0.052158738
81,0.057882083
82,0.064484907
83,0.072029476
84,0.079941207
85,0.089922959
86,0.099235597
87,0.112150188
88,0.12650942
89,0.142412267
90,0.159948103
91,0.179192035
92,0.200199481
93,0.223000675
94,0.247594773
95,0.273944971
96,0.301973991
97,0.331561222
98,0.362541784
99,0.394707718
100,0.475266709
